@relation gps_tracking

@attribute Longtitude numeric
@attribute Latitude numeric
@attribute CurrentSpeed numeric
@attribute Timestamp date "yyyy-MM-dd HH:mm:ss"
@attribute MoveType {Walking,Running,Biking,Driving,Metro,Bus,Motionless}
@attribute IsGpsFixed {yes,no}

@data
38.264223012763466,23.719993785258794,31.670013020833334,"2013-6-24 21:30:9",Driving,yes
38.26186285055595,23.728835694342862,30.582133762085636,"2013-6-24 21:30:39",Driving,yes
38.25966251358375,23.736999725434572,29.708949663062796,"2013-6-24 21:31:9",Driving,yes
38.25735574878286,23.745616868095016,29.239192978475103,"2013-6-24 21:31:39",Driving,yes
38.25479189524025,23.75499868745958,29.154113093865313,"2013-6-24 21:32:9",Driving,yes
38.25132197594945,23.763567261297194,29.047952138704318,"2013-6-24 21:32:39",Driving,yes
38.24519563992684,23.7689178154666,28.669972030777945,"2013-6-24 21:33:9",Driving,yes
38.23938694134218,23.7751929378605,28.52392983898892,"2013-6-24 21:33:39",Driving,yes
38.23628578078629,23.786088098548127,28.869702585517903,"2013-6-24 21:34:9",Driving,yes
38.23359531821894,23.79335333591829,29.02330272018765,"2013-6-24 21:34:39",Driving,no
38.23359531821894,23.79335333591829,29.02330272018765,"2013-6-24 21:35:9",Driving,no
38.2296434914969,23.815305782619546,28.83969553989085,"2013-6-24 21:35:39",Driving,yes
38.228647373839244,23.823928225017085,28.72027828186516,"2013-6-24 21:36:9",Driving,yes
38.23044034844144,23.835131754566238,28.428705522181147,"2013-6-24 21:36:39",Driving,yes
38.22858215559469,23.84482428595501,28.43504405647986,"2013-6-24 21:37:9",Driving,yes
38.2241967971996,23.851034082364727,28.177997608153078,"2013-6-24 21:37:39",Driving,yes
38.21646558396988,23.853505934878466,27.752206938391442,"2013-6-24 21:38:9",Driving,yes
38.21019292977425,23.855388342181676,27.463445252862595,"2013-6-24 21:38:39",Driving,no
38.199492225217966,23.853170211834126,26.679862744211288,"2013-6-24 21:39:9",Driving,yes
38.19058171954506,23.851726001173976,26.232546657986113,"2013-6-24 21:39:39",Driving,yes
38.18057019364976,23.85328288305133,26.181398759986685,"2013-6-24 21:40:9",Driving,yes
38.17673400248761,23.85340504812788,25.52553066981434,"2013-6-24 21:40:39",Driving,no
38.17665755490982,23.853451431516195,24.591780016954377,"2013-6-24 21:41:9",Driving,no
38.176454598262694,23.853509747694673,23.736114465665874,"2013-6-24 21:41:39",Driving,no
38.1763739349067,23.853512081461318,22.92521840915614,"2013-6-24 21:42:9",Driving,no
38.172628923331146,23.85486206268557,22.555966460876803,"2013-6-24 21:42:39",Driving,yes
38.16573964765112,23.856236765606475,22.460110935821696,"2013-6-24 21:43:9",Driving,yes
38.15743683426212,23.855411387927752,22.346073019641,"2013-6-24 21:43:39",Driving,yes
38.152709243704464,23.854614565906378,21.98413652560545,"2013-6-24 21:44:9",Driving,yes
38.148043782499926,23.850563270557686,21.556744432824804,"2013-6-24 21:44:39",Driving,no
38.1413815000328,23.84450457452326,21.008793708372977,"2013-6-24 21:45:9",Driving,yes
38.1339622772212,23.840508587911003,20.790601873265494,"2013-6-24 21:45:39",Driving,yes
38.126096517471055,23.836582537464132,20.648177317731772,"2013-6-24 21:46:9",Driving,yes
38.11873670455739,23.83052343055987,20.40257826194128,"2013-6-24 21:46:39",Driving,yes
38.112259519372536,23.82394405381897,20.108317543766013,"2013-6-24 21:47:9",Driving,yes
38.105908538057086,23.81729842499026,19.843393851477934,"2013-6-24 21:47:39",Driving,yes
38.101871886715145,23.809158747273774,19.382639558793663,"2013-6-24 21:48:9",Driving,yes
38.09827497359048,23.800044806155302,18.9019363972046,"2013-6-24 21:48:39",Driving,yes
38.09368821334614,23.79264513846592,18.595809026433,"2013-6-24 21:49:9",Driving,yes
38.087101943468284,23.787621531254153,18.540681479466315,"2013-6-24 21:49:39",Driving,yes
38.08058554001034,23.782622934320685,18.49785893551073,"2013-6-24 21:50:9",Driving,yes
38.07598889232574,23.77750690021838,18.349510231598984,"2013-6-24 21:50:39",Driving,yes
38.07290277290598,23.770326166406,18.01125227010985,"2013-6-24 21:51:9",Driving,yes
38.069984798255696,23.762794634358606,17.70742973629424,"2013-6-24 21:51:39",Driving,yes
38.06886432038835,23.75876666449032,17.357500212440517,"2013-6-24 21:52:9",Driving,no
38.06687767054956,23.75989687274191,17.17020163640906,"2013-6-24 21:52:39",Driving,yes
38.06654746408872,23.759868077410434,16.867253880718955,"2013-6-24 21:53:9",Driving,no
38.064488843239594,23.76160763315985,16.7004862167681,"2013-6-24 21:53:39",Driving,yes
38.06478533041782,23.762621038740146,16.381905297375866,"2013-6-24 21:54:9",Driving,yes
38.06529299319771,23.764246258301554,16.20120467000933,"2013-6-24 21:54:39",Driving,no
38.0667526170351,23.767269086507333,15.839638910060975,"2013-6-24 21:55:9",Driving,no
38.065127004860905,23.770734070107522,15.611600005577037,"2013-6-24 21:55:39",Driving,no
38.06584778780275,23.774282827955993,15.352037368497955,"2013-6-24 21:56:9",Driving,yes
38.064674457890334,23.776071815711283,15.249104536115917,"2013-6-24 21:56:39",Driving,no
38.0634455908857,23.77934861703674,15.057432462238848,"2013-6-24 21:57:9",Driving,yes
38.06180971479511,23.783448796805153,14.969916886451971,"2013-6-24 21:57:39",Driving,yes
38.0599047886366,23.787025465342165,14.901212431693988,"2013-6-24 21:58:9",Driving,yes
38.05915506758561,23.790083466117988,14.746563927324019,"2013-6-24 21:58:39",Driving,no
38.059055792659564,23.79254799027375,14.567669064153439,"2013-6-24 21:59:9",Driving,yes
38.0590858000622,23.79354595028565,14.34790229698074,"2013-6-24 21:59:39",Driving,yes
38.06009136794259,23.79720462151392,14.136590610584316,"2013-6-24 22:0:9",Driving,yes
